area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
124114,673382.5,0.184314264,9595.598992,1035,847,7634,13,937.2890625,505.5730896,110.9013214,0.842050097,2021.10.11-14.46.37_RaspiY_side6_cameraA
72615,637855.5,0.113842398,13825.96481,963,825,6978,12,753.8695679,451.2051392,110.1143341,0.801108731,2021.10.11-14.49.27_RaspiY_side4_cameraA
44186,531458,0.083141095,17318.85024,919,822,6120,11,755.6503906,570.303772,91.38197327,0.656048094,2021.10.11-15.49.32_RaspiY_side7_cameraA
113685,634149,0.179271748,15261.78101,1139,798,7465,11,966.5964966,570.4284058,95.59645081,0.807300054,2021.10.11-15.54.45_RaspiY_side4_cameraA
109365,492830,0.221912221,13044.02929,963,813,5662,11,625.1453247,557.0386353,62.70170975,0.453896077,2021.10.11-14.33.35_RaspiY_side2_cameraA
193145,611921.5,0.315636891,16321.99321,963,861,6672,14,718.2813721,659.152832,150.2241364,0.397319066,2021.10.11-15.08.12_RaspiY_side6_cameraA
29937,542174,0.055216591,15410.95842,1144,787,7359,11,774.284729,632.3382568,94.67560577,0.577099187,2021.10.11-14.09.07_RaspiY_side3_cameraA
233,511001.5,0.000455967,3106.007423,957,837,6078,12,3350.689209,1013.244812,10.32507706,0.953181457,2021.10.11-15.31.51_RaspiY_side3_cameraA
93146,642391,0.144998918,12509.54764,975,857,7257,12,777.6879272,543.7600708,112.8597031,0.714925277,2021.10.11-15.20.50_RaspiY_side4_cameraA
126632,633226,0.199979154,65203.16522,1049,852,8039,22,715.0962524,562.0263062,85.89767456,0.618296447,2021.10.11-16.00.15_RaspiY_side4_cameraA
148799,454670,0.327268129,18586.89483,891,844,5518,27,777.3270264,670.9768066,121.4183121,0.504888255,2021.10.11-14.34.57_RaspiY_side4_cameraA
66918,312212.5,0.214334788,11153.36088,960,604,6347,21,852.0462646,445.5020752,110.7860565,0.852417732,2021.10.11-14.57.07_RaspiY_side7_cameraA
200518,678104.5,0.295703686,13752.53762,1230,798,6835,21,954.4172974,638.7501831,77.56614685,0.743031259,2021.10.11-14.34.57_RaspiY_side5_cameraA
83625,472269.5,0.177070507,22755.15493,1021,834,6521,19,931.5720825,457.6499329,93.4131012,0.87100945,2021.10.11-14.57.07_RaspiY_side1_cameraA
51459,519764.5,0.099004453,18218.62277,839,975,7035,14,2053.101074,969.1663208,0,0.881571787,2021.10.11-16.36.44_RaspiY_side1_cameraA
23216,418925.5,0.055417968,17151.25808,922,755,7189,15,920.1027222,377.7296143,111.5674057,0.911847168,2021.10.11-15.37.05_RaspiY_side5_cameraA
123276,508062,0.242639678,10284.33664,1117,864,7691,14,814.5803833,527.8966064,101.3112259,0.761589656,2021.10.11-14.50.46_RaspiY_side1_cameraA
121297,612965.5,0.197885525,9935.202636,1020,787,7483,18,984.2174683,538.3579102,103.5174408,0.837138611,2021.10.11-15.13.48_RaspiY_side1_cameraA
